key,ko,en
sin.wrath.name,분노,Wrath
sin.envy.name,시기,Envy
sin.greed.name,탐욕,Greed
sin.sloth.name,나태,Sloth
sin.gluttony.name,폭식,Gluttony
sin.lust.name,색욕,Lust
sin.pride.name,교만,Pride
sin.wrath.flaw,"충동적, 폭력적, 참을성 없음","Impulsive, violent, no patience"
sin.envy.flaw,"비교 강박, 열등감, 뒷공작","Comparison-obsessed, inferior, scheming"
sin.greed.flaw,"독점욕, 소유욕, 나누지 못함","Monopolistic, possessive, unable to share"
sin.sloth.flaw,"무기력, 회피, 전염되는 체념","Apathetic, avoidant, contagious resignation"
sin.gluttony.flaw,"과잉, 불안한 비축, 끝없는 허기","Excessive, anxious hoarding, endless hunger"
sin.lust.flaw,"집착, 의존, 관계 중독","Obsession, dependency, relationship addiction"
sin.pride.flaw,"자기확신, 독선, 복종 거부","Self-certain, dogmatic, refuses subordination"
sin.wrath.rampage,가장 가까운 건물을 부숨,Smashes the nearest building
sin.envy.rampage,가장 강한 영웅의 장비를 파괴,Destroys the strongest hero's gear
sin.greed.rampage,창고에서 자원을 훔쳐서 도주 시도,Steals resources and tries to flee
sin.sloth.rampage,아무것도 안 함 + 주변 영웅 사기 저하,Does nothing and lowers nearby morale
sin.gluttony.rampage,식량 저장소를 비움,Empties the food stores
sin.lust.rampage,영웅 2명을 분쟁에 휘말리게 함,Drags two heroes into a quarrel
sin.pride.rampage,"명령을 전부 거부, 독자 행동","Rejects all orders, acts alone"
sin.wrath.desertion,폭력적 탈영,Violent desertion
sin.envy.desertion,뒤에서 사보타주 후 이탈,Sabotages and leaves
sin.greed.desertion,창고 털고 도주,Robs the vault and flees
sin.sloth.desertion,조용히 사라짐,Silently disappears
sin.gluttony.desertion,보급품 갖고 이탈,Leaves with the supplies
sin.lust.desertion,다른 영웅 꼬여서 같이 떠남,Lures another hero to leave together
sin.pride.desertion,"""너 밑에 있을 수준이 아니다"" 선언 후 이탈","Declares ""I'm above you"" and leaves"
stat.strength.name,힘,STR
stat.agility.name,민첩,AGI
stat.intellect.name,지능,INT
stat.health.name,건강,VIT
stat.perception.name,감각,PER
stat.leadership.name,통솔,LDR
stat.charisma.name,매력,CHA
facility.tavern.name,주점,Tavern
facility.smithy.name,대장간,Smithy
facility.watchtower.name,감시탑,Watchtower
facility.farm.name,농장,Farm
facility.lumber_mill.name,벌목장,Lumber Mill
facility.hospital.name,병원,Hospital
facility.stagecoach.name,역마차,Stagecoach
facility.training_ground.name,훈련장,Training Ground
facility.watchtower_2.name,감시탑 Lv.2,Watchtower Lv.2
facility.alchemy_lab.name,연금술소,Alchemy Lab
facility.market.name,시장,Market
facility.watchtower_3.name,감시탑 Lv.3,Watchtower Lv.3
facility.tavern.desc,영웅 고용,Recruit heroes
facility.smithy.desc,장비 제작/수리,Craft and repair gear
facility.watchtower.desc,습격 유무 알림,Alerts about raids
facility.farm.desc,턴당 식량 생산,Produces food per turn
facility.lumber_mill.desc,턴당 나무 생산,Produces wood per turn
facility.hospital.desc,부상 영웅 치료 (회복 턴 절반) + 사기 안정화,Halves injury recovery turns + stabilizes morale
facility.stagecoach.desc,"교역 상인 도착, 외부 정보","Traveling traders arrive, external info"
facility.training_ground.desc,영웅 HP 회복 속도 +50%,Hero HP regen +50%
facility.watchtower_2.desc,습격 규모 알림,Alerts raid scale
facility.alchemy_lab.desc,"소모품 제작 (치료약, 사기 물약 등)","Craft consumables (potions, morale tonics)"
facility.market.desc,턴당 골드 수입,Gold income per turn
